SCHOOL NO.,ENGLISH CATEGORY,ENGLISH NAME,ENGLISH ADDRESS,LONGITUDE,LATITUDE,EASTING,NORTHING,STUDENTS GENDER,SESSION,DISTRICT
190420000133 ,Aided Secondary Schools,HKTA TANG HIN MEMORIAL SECONDARY SCHOOL,CHOI YUEN ESTATE SHEUNG SHUI NEW TERRITORIES,114-7-44,22-29-58,831336,839978,CO-ED,WHOLE DAY,NORTH
170526000133 ,Aided Secondary Schools,CHONG GENE HANG COLLEGE,12 CHEUNG MAN ROAD CHAI WAN HONG KONG,114-14-14,22-16-4,842487.1,814334.1,BOYS,WHOLE DAY,EASTERN
190721000133 ,Aided Secondary Schools,SKH CHAN YOUNG SECONDARY SCHOOL,6 CHI CHEONG ROAD SHEUNG SHUI NEW TERRITORIES,114-7-58,22-30-4,831725,840156,CO-ED,WHOLE DAY,NORTH
190489000133 ,Aided Secondary Schools,PO LEUNG KUK LO KIT SING (1983) COLLEGE,CHEUNG HONG ESTATE TSING YI NEW TERRITORIES,114-6-13,22-20-57,828724,823355,CO-ED,WHOLE DAY,KWAI TSING
230910000133 ,Aided Secondary Schools,AD&FDPOHL LEUNG SING TAK COLLEGE,ESTATE SECONDARY SCHOOL NO 2 SHEK WAI KOK ESTATE TSUEN WAN NEW TERRITORIES,114-7-33,22-22-35,831014,826348,CO-ED,WHOLE DAY,TSUEN WAN
190888000233 ,Aided Secondary Schools,HKMA K S LO COLLEGE,"26 TIN PAK ROAD TIN SHUI WAI, YUEN LONG NEW TERRITORIES",114-0-24,22-27-28,818760,835389,CO-ED,WHOLE DAY,YUEN LONG
170089000133 ,Aided Secondary Schools,TUNG WAH GROUP OF HOSPITALS WONG FUT NAM COLLEGE,"1C OXFORD ROAD, KOWLOON TONG, KOWLOON",114-10-48,22-19-45,836592.1,821125.5,CO-ED,WHOLE DAY,KOWLOON CITY
214973000133 ,Aided Secondary Schools,BUDDHIST HUNG SEAN CHAU MEMORIAL COLLEGE,10 PING TING ROAD HAMMER HILL KOWLOON,114-12-29,22-20-18,839487,822153,CO-ED,WHOLE DAY,WONG TAI SIN
190446000133 ,Aided Secondary Schools,SALEM-IMMANUEL LUTHERAN COLLEGE,TAI YUEN ESTATE TAI PO NEW TERRITORIES,114-10-0,22-27-20,835226,835111,CO-ED,WHOLE DAY,TAI PO
132918000133 ,Aided Secondary Schools,PAOC KA CHI SECONDARY SCHOOL,273 WU CHUI ROAD TUEN MUN NEW TERRITORIES,113-58-12,22-22-24,814950,826037,CO-ED,WHOLE DAY,TUEN MUN
190802000133 ,Aided Secondary Schools,HKCWC FUNG YIU KING MEM SEC SCH,10 HANG KWONG STREET MA ON SHAN SHATIN NEW TERRITORIES,114-13-48,22-25-20,841736,831420,CO-ED,WHOLE DAY,SHA TIN
170852000233 ,Aided Secondary Schools,TACK CHING GIRLS' SECONDARY SCHOOL,9 HING WAH STREET WEST & ROOMS 513 514 515 & 516 5/F SHAMSHUIPO KOWLOON,114-8-59,22-19-55,833464.1,821436.6,GIRLS,WHOLE DAY,SHAM SHUI PO
230421000133 ,Aided Secondary Schools,HKTA THE YUEN YUEN INT NO.1 SEC SCH,42 WO YI HOP ROAD KWAI CHUNG NEW TERRITORIES,114-8-17,22-21-59,832259,825259,CO-ED,WHOLE DAY,KWAI TSING
190705000133 ,Aided Secondary Schools,JOCKEY CLUB TI-I COLLEGE,LOK KING STREET FO TAN SHATIN NEW TERRITORIES,114-11-53,22-23-32,838447,828116,CO-ED,WHOLE DAY,SHA TIN
230839000133 ,Aided Secondary Schools,SHATIN PUI YING COLLEGE,WO CHE ESTATE 9 FUNG SHUN STREET SHATIN NEW TERRITORIES,114-11-40,22-23-21,838077,827780,CO-ED,WHOLE DAY,SHA TIN
170704000133 ,Aided Secondary Schools,CCC MONG MAN WAI COLLEGE,20 HIU MING STREET KWUN TONG KOWLOON,114-13-50,22-18-58,841788,819676,CO-ED,WHOLE DAY,KWUN TONG
535761000133 ,Aided Secondary Schools,CUHKFAA CHAN CHUN HA SECONDARY SCHOOL,632 SAI SHA ROAD MA ON SHAN SHATIN NEW TERRITORIES,114-13-36,22-25-24,841381,831565,CO-ED,WHOLE DAY,SHA TIN
510203000133 ,Aided Secondary Schools,SACRED HEART CANOSSIAN COLLEGE,LG/F - 6/F 2 CHI FU CLOSE CHI FU FA YUEN POKFULAM HONG KONG (EXCLUDING CHAPEL & QUARTERS),114-8-19,22-15-27,832313.8,813182.4,GIRLS,WHOLE DAY,SOUTHERN
190772000133 ,Aided Secondary Schools,MA ON SHAN TSUNG TSIN SECONDARY SCHOOL,"5 HANG SHUN STREET MA ON SHAN, SHATIN NEW TERRITORIES",114-13-21,22-24-21,840959,829606,CO-ED,WHOLE DAY,SHA TIN
230510000133 ,Aided Secondary Schools,YUEN LONG MERCHANTS ASSOCIATION SEC SCH,20 FUNG NIN ROAD YUEN LONG NEW TERRITORIES,114-1-27,22-26-37,820549,833805,CO-ED,WHOLE DAY,YUEN LONG
190810000133 ,Aided Secondary Schools,CONFUCIAN TAI SHING HO KWOK PUI CHUN COL,AREA 17 FU SHIN ESTATE TAI PO NEW TERRITORIES,114-10-34,22-27-20,836186,835111,CO-ED,WHOLE DAY,TAI PO
